x,y,z,name,long_desc,ex_n,ex_s,ex_e,ex_w,ex_ne,ex_nw,ex_se,ex_sw,ex_u,ex_d,px,py,pz,portal_command,portal_text
222,274,51,Room 1954,Room 1954 at voxel (22227451). Connected to nearby rooms.,1,1,1,1,0,0,1,1,0,1,,,,,
222,275,50,Room 568,Room 568 at voxel (22227550). Connected to nearby rooms.,1,0,1,1,1,1,0,0,1,0,,,,,
222,275,51,Room 1956,Room 1956 at voxel (22227551). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,1,,,,,
222,276,51,Room 1962,Room 1962 at voxel (22227651). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
222,277,51,Room 1964,Room 1964 at voxel (22227751). Connected to nearby rooms.,1,0,1,1,1,1,0,1,0,0,,,,,
223,248,51,Room 1844,Room 1844 at voxel (22324851). Connected to nearby rooms.,0,0,0,1,0,0,1,1,0,0,,,,,
223,250,51,Room 1768,Room 1768 at voxel (22325051). Connected to nearby rooms.,0,1,1,1,1,1,1,1,0,0,,,,,
223,251,51,Room 1814,Room 1814 at voxel (22325151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
223,252,51,Room 1795,Room 1795 at voxel (22325251). Connected to nearby rooms.,1,1,1,1,1,1,1,0,0,0,,,,,
223,253,51,Room 1794,Room 1794 at voxel (22325351). Connected to nearby rooms.,1,1,1,0,1,1,1,1,0,0,,,,,
223,254,51,Room 1782,Room 1782 at voxel (22325451). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
223,255,51,Room 1811,Room 1811 at voxel (22325551). Connected to nearby rooms.,1,0,1,1,1,1,0,1,0,0,,,,,
223,257,51,Room 1808,Room 1808 at voxel (22325751). Connected to nearby rooms.,0,1,0,1,0,1,0,0,0,0,,,,,
223,258,51,Room 1807,Room 1807 at voxel (22325851). Connected to nearby rooms.,1,0,0,0,0,1,0,1,0,0,,,,,
223,269,51,Room 1986,Room 1986 at voxel (22326951). Connected to nearby rooms.,0,1,1,1,0,0,0,0,0,0,,,,,
223,270,51,Room 1984,Room 1984 at voxel (22327051). Connected to nearby rooms.,1,0,0,0,1,1,0,1,0,0,,,,,
223,271,50,Room 577,Room 577 at voxel (22327150). Connected to nearby rooms.,0,1,0,0,0,0,1,1,0,0,,,,,
223,272,50,Room 575,Room 575 at voxel (22327250). Connected to nearby rooms.,1,1,1,1,0,0,0,1,0,0,,,,,
223,273,50,Room 573,Room 573 at voxel (22327350). Connected to nearby rooms.,1,1,0,1,1,1,1,1,0,0,,,,,
223,274,50,Room 578,Room 578 at voxel (22327450). Connected to nearby rooms.,1,1,1,1,0,1,1,1,1,0,,,,,
223,274,51,Room 1953,Room 1953 at voxel (22327451). Connected to nearby rooms.,0,1,1,1,0,1,1,1,0,1,,,,,
223,275,50,Room 567,Room 567 at voxel (22327550). Connected to nearby rooms.,1,0,1,1,1,1,1,0,1,0,,,,,
223,275,51,Room 1957,Room 1957 at voxel (22327551). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,1,,,,,
223,276,51,Room 1959,Room 1959 at voxel (22327651). Connected to nearby rooms.,1,1,1,1,1,1,0,1,0,0,,,,,
223,277,51,Room 1963,Room 1963 at voxel (22327751). Connected to nearby rooms.,1,0,0,1,1,1,0,0,0,0,,,,,
224,249,51,Room 1767,Room 1767 at voxel (22424951). Connected to nearby rooms.,0,1,0,0,0,1,1,1,0,0,,,,,
224,250,51,Room 1845,Room 1845 at voxel (22425051). Connected to nearby rooms.,1,1,1,1,0,0,1,1,0,0,,,,,
224,251,51,Room 1769,Room 1769 at voxel (22425151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
224,252,51,Room 1857,Room 1857 at voxel (22425251). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
224,253,51,Room 1781,Room 1781 at voxel (22425351). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
224,254,51,Room 1813,Room 1813 at voxel (22425451). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
224,255,51,Room 1812,Room 1812 at voxel (22425551). Connected to nearby rooms.,1,0,1,1,1,1,0,0,0,0,,,,,
224,269,51,Room 1985,Room 1985 at voxel (22426951). Connected to nearby rooms.,0,0,0,1,0,0,0,1,0,0,,,,,
224,272,50,Room 574,Room 574 at voxel (22427250). Connected to nearby rooms.,0,0,0,1,0,1,0,1,0,0,,,,,
224,274,50,Room 580,Room 580 at voxel (22427450). Connected to nearby rooms.,0,1,1,1,0,1,1,1,1,0,,,,,
224,274,51,Room 1951,Room 1951 at voxel (22427451). Connected to nearby rooms.,0,1,1,1,1,0,1,1,0,1,,,,,
224,275,50,Room 582,Room 582 at voxel (22427550). Connected to nearby rooms.,1,1,1,1,1,1,0,0,1,0,,,,,
224,275,51,Room 1958,Room 1958 at voxel (22427551). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,1,,,,,
224,276,50,Room 566,Room 566 at voxel (22427650). Connected to nearby rooms.,1,1,0,0,1,1,1,0,1,0,,,,,
224,276,51,Room 1949,Room 1949 at voxel (22427651). Connected to nearby rooms.,1,0,1,1,1,1,0,1,0,1,,,,,
224,277,50,Room 564,Room 564 at voxel (22427750). Connected to nearby rooms.,1,0,1,0,0,0,1,0,0,0,,,,,
225,250,51,Room 1766,Room 1766 at voxel (22525051). Connected to nearby rooms.,0,1,1,1,1,1,1,1,0,0,,,,,
225,251,51,Room 1856,Room 1856 at voxel (22525151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
225,252,51,Room 1855,Room 1855 at voxel (22525251). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
225,253,51,Room 1858,Room 1858 at voxel (22525351). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
225,254,51,Room 1780,Room 1780 at voxel (22525451). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
225,255,51,Room 1859,Room 1859 at voxel (22525551). Connected to nearby rooms.,1,0,1,1,1,1,0,0,0,0,,,,,
225,273,51,Room 1952,Room 1952 at voxel (22527351). Connected to nearby rooms.,0,1,1,0,1,0,0,1,0,0,,,,,
225,274,50,Room 585,Room 585 at voxel (22527450). Connected to nearby rooms.,0,1,0,1,0,0,1,1,1,0,,,,,
225,274,51,Room 1946,Room 1946 at voxel (22527451). Connected to nearby rooms.,1,1,0,1,1,0,1,1,0,1,,,,,
225,275,50,Room 581,Room 581 at voxel (22527550). Connected to nearby rooms.,1,0,1,1,0,1,1,1,1,0,,,,,
225,275,51,Room 1950,Room 1950 at voxel (22527551). Connected to nearby rooms.,1,1,1,1,0,1,0,1,0,1,,,,,
225,276,51,Room 1948,Room 1948 at voxel (22527651). Connected to nearby rooms.,1,0,0,1,1,1,0,0,0,0,,,,,
225,277,50,Room 563,Room 563 at voxel (22527750). Connected to nearby rooms.,0,1,1,1,1,1,1,0,0,0,,,,,
225,278,50,Room 565,Room 565 at voxel (22527850). Connected to nearby rooms.,1,0,1,0,1,1,0,0,0,0,,,,,
226,246,51,Room 1756,Room 1756 at voxel (22624651). Connected to nearby rooms.,0,0,1,0,0,0,1,0,0,0,,,,,
226,249,51,Room 1778,Room 1778 at voxel (22624951). Connected to nearby rooms.,0,1,1,0,1,0,1,1,0,0,,,,,
226,250,51,Room 1765,Room 1765 at voxel (22625051). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
226,251,51,Room 1764,Room 1764 at voxel (22625151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
226,252,51,Room 1770,Room 1770 at voxel (22625251). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
226,253,51,Room 1773,Room 1773 at voxel (22625351). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
226,254,51,Room 1772,Room 1772 at voxel (22625451). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
226,255,51,Room 1860,Room 1860 at voxel (22625551). Connected to nearby rooms.,1,0,1,1,1,1,1,0,0,0,,,,,
226,261,51,Room 1877,Room 1877 at voxel (22626151). Connected to nearby rooms.,0,0,1,0,1,0,0,0,0,0,,,,,
226,272,51,Room 1944,Room 1944 at voxel (22627251). Connected to nearby rooms.,0,1,1,0,1,0,0,1,0,0,,,,,
226,273,51,Room 1945,Room 1945 at voxel (22627351). Connected to nearby rooms.,1,0,0,1,1,0,0,1,0,0,,,,,
226,275,50,Room 583,Room 583 at voxel (22627550). Connected to nearby rooms.,0,1,1,1,1,1,0,0,1,0,,,,,
226,275,51,Room 1947,Room 1947 at voxel (22627551). Connected to nearby rooms.,0,0,0,1,0,1,0,1,0,1,,,,,
226,276,50,Room 562,Room 562 at voxel (22627650). Connected to nearby rooms.,1,1,0,0,1,1,1,1,0,0,,,,,
226,277,50,Room 561,Room 561 at voxel (22627750). Connected to nearby rooms.,1,1,1,1,0,0,0,1,0,0,,,,,
226,278,50,Room 559,Room 559 at voxel (22627850). Connected to nearby rooms.,1,0,0,1,1,1,1,0,0,0,,,,,
227,246,51,Room 1755,Room 1755 at voxel (22724651). Connected to nearby rooms.,0,1,0,1,1,0,0,0,0,0,,,,,
227,247,51,Room 1757,Room 1757 at voxel (22724751). Connected to nearby rooms.,1,1,0,0,0,1,0,0,0,0,,,,,
227,248,51,Room 1758,Room 1758 at voxel (22724851). Connected to nearby rooms.,1,1,0,0,0,0,1,1,0,0,,,,,
227,249,51,Room 1777,Room 1777 at voxel (22724951). Connected to nearby rooms.,1,1,1,1,0,0,1,1,0,0,,,,,
227,250,51,Room 1779,Room 1779 at voxel (22725051). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
227,251,51,Room 1763,Room 1763 at voxel (22725151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
227,252,51,Room 1762,Room 1762 at voxel (22725251). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
227,253,51,Room 1771,Room 1771 at voxel (22725351). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
227,254,51,Room 1865,Room 1865 at voxel (22725451). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
227,255,51,Room 1861,Room 1861 at voxel (22725551). Connected to nearby rooms.,1,1,1,1,1,1,1,0,0,0,,,,,
227,256,51,Room 1863,Room 1863 at voxel (22725651). Connected to nearby rooms.,1,0,1,0,1,1,0,0,0,0,,,,,
227,260,51,Room 1878,Room 1878 at voxel (22726051). Connected to nearby rooms.,0,1,1,0,0,0,1,1,0,0,,,,,
227,261,51,Room 1876,Room 1876 at voxel (22726151). Connected to nearby rooms.,1,0,1,1,1,0,0,0,0,0,,,,,
227,271,51,Room 1942,Room 1942 at voxel (22727151). Connected to nearby rooms.,0,1,0,0,0,0,1,1,0,0,,,,,
227,272,51,Room 1943,Room 1943 at voxel (22727251). Connected to nearby rooms.,1,0,1,1,0,0,0,1,0,0,,,,,
227,273,50,Room 588,Room 588 at voxel (22727350). Connected to nearby rooms.,0,1,1,0,0,0,0,0,0,0,,,,,
227,274,50,Room 586,Room 586 at voxel (22727450). Connected to nearby rooms.,1,1,0,0,1,0,0,1,0,0,,,,,
227,275,50,Room 584,Room 584 at voxel (22727550). Connected to nearby rooms.,1,0,0,1,0,0,0,1,0,0,,,,,
227,277,50,Room 560,Room 560 at voxel (22727750). Connected to nearby rooms.,0,0,0,1,0,1,0,1,0,0,,,,,
227,279,50,Room 558,Room 558 at voxel (22727950). Connected to nearby rooms.,0,0,1,0,0,1,1,0,0,0,,,,,
228,244,51,Room 1752,Room 1752 at voxel (22824451). Connected to nearby rooms.,0,1,1,0,0,0,1,0,0,0,,,,,
228,245,51,Room 1753,Room 1753 at voxel (22824551). Connected to nearby rooms.,1,0,1,0,1,0,0,1,0,0,,,,,
228,249,51,Room 1759,Room 1759 at voxel (22824951). Connected to nearby rooms.,0,1,1,1,0,1,1,1,0,0,,,,,
228,250,51,Room 1776,Room 1776 at voxel (22825051). Connected to nearby rooms.,1,1,1,1,1,1,0,1,0,0,,,,,
228,251,51,Room 1761,Room 1761 at voxel (22825151). Connected to nearby rooms.,1,1,0,1,1,1,1,1,0,0,,,,,
228,252,51,Room 1774,Room 1774 at voxel (22825251). Connected to nearby rooms.,1,1,1,1,0,1,1,1,0,0,,,,,
228,253,51,Room 1775,Room 1775 at voxel (22825351). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
228,254,51,Room 1864,Room 1864 at voxel (22825451). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
228,255,51,Room 1866,Room 1866 at voxel (22825551). Connected to nearby rooms.,1,1,1,1,1,1,0,1,0,0,,,,,
228,256,51,Room 1862,Room 1862 at voxel (22825651). Connected to nearby rooms.,1,0,0,1,1,1,1,0,0,0,,,,,
228,260,51,Room 1879,Room 1879 at voxel (22826051). Connected to nearby rooms.,0,1,1,1,1,0,1,1,0,0,,,,,
228,261,51,Room 1875,Room 1875 at voxel (22826151). Connected to nearby rooms.,1,0,1,1,1,1,1,0,0,0,,,,,
228,263,51,Room 1881,Room 1881 at voxel (22826351). Connected to nearby rooms.,0,1,1,0,1,0,1,0,0,0,,,,,
228,264,51,Room 1884,Room 1884 at voxel (22826451). Connected to nearby rooms.,1,1,1,0,1,0,1,0,0,0,,,,,
228,265,51,Room 1889,Room 1889 at voxel (22826551). Connected to nearby rooms.,1,0,1,0,1,0,1,0,0,0,,,,,
228,270,50,Room 592,Room 592 at voxel (22827050). Connected to nearby rooms.,0,1,1,0,1,0,1,0,0,0,,,,,
228,271,50,Room 595,Room 595 at voxel (22827150). Connected to nearby rooms.,1,0,1,0,1,0,1,0,0,0,,,,,
228,272,51,Room 1941,Room 1941 at voxel (22827251). Connected to nearby rooms.,0,0,1,1,0,1,0,0,0,0,,,,,
228,273,50,Room 587,Room 587 at voxel (22827350). Connected to nearby rooms.,0,0,1,1,1,0,1,1,0,0,,,,,
228,279,50,Room 554,Room 554 at voxel (22827950). Connected to nearby rooms.,0,1,0,1,0,0,1,0,0,0,,,,,
228,280,50,Room 555,Room 555 at voxel (22828050). Connected to nearby rooms.,1,1,1,0,0,1,1,0,0,0,,,,,
228,281,50,Room 556,Room 556 at voxel (22828150). Connected to nearby rooms.,1,0,1,0,1,0,0,0,0,0,,,,,
